"(10.302782,104.003671),"
"(49.2819,-123.11874),"
"(22.412321,79.132924),"
"(23.798532,120.955426),"
"(39.961918,-112.112476),"
"(19.43535,102.560667),"
"(56.1325,101.61417),"
"(5.420717,10.70225),"
"(21.732568,105.396672),"
"(13.960892,124.334088),"
"(-20.878895,55.448078),"
"(41.587536,-71.514739),"
"(38.635957,-90.239861),"
"(52.486607,-6.606355),"
"(38.635957,-90.239861),"
"(55.741469,37.615561),"
"(10.302782,104.003671),"
"(51.482085,-0.453121),"
"(-45.575632,-72.067527),"
"(34.53215,-83.986139),"
"(19.371422,-99.150344),"
"(52.59431,-1.461208),"
"(10.79202,106.677939),"
"(-29.708985,23.666291),"
"(55.741469,37.615561),"
"(36.531544,-119.586168),"
"(29.328493,68.546268),"
"(32.742314,-101.947669),"
"(26.666955,18.030248),"
"(21.732568,105.396672),"

"(33.897393,-118.165127),"
"(19.10109,72.875449),"
"(32.217728,-82.408748),"
"(22.608067,88.419453),"
"(43.314798,-1.974583),"
"(63.314401,93.884016),"
"(40.590676,-76.181377),"
"(38.353141,-92.747022),"
"(51.509648,-0.099076),"
"(26.121044,-80.142951),"
"(23.806678,44.700847),"
"(6.550449,3.574901),"
"(-8.195733,-35.566964),"
"(-38.165295,-72.288079),"
"(-8.055802,-34.921399),"
"(41.522531,-71.376955),"
"(45.473702,9.170685),"
"(43.063146,-87.948334),"
"(49.062155,8.974638),"
"(38.347262,-81.630631),"

"(33.890464,-118.225034),"
"(31.077789,32.331427),"
"(9.75,-63.17667),"
"(38.82652,-77.01712),"
"(60.064642,6.547379),"
"(42.654466,27.194076),"
"(40.75559,-73.81188),"
"(43.587719,7.106732),"
"(19.285663,166.644535),"
"(4.77742,7.0134),"
"(60.563342,-151.196291),"
"(21.732568,105.396672),"
"(21.732568,105.396672),"
"(36.190364,-115.279104),"
"(9.051808,-83.637428),"
"(40.27547,-76.643955),"
"(35.488426,-96.686522),"
"(38.41273,27.13838),"
"(-8.17497,-70.347807),"
"(21.732568,105.396672),"
"(43.70464,-72.279321),"
"(71.265914,-156.767414),"
"(37.778008,-122.431272),"
"(33.732249,-117.880826),"
"(16.507601,105.725646),"
"(56.348368,-133.615543),"
"(59.788845,-154.115755),"
"(13.005374,80.1907),"
"(47.001265,-109.645406),"
"(10.48801,-66.87919),"
"(41.955771,-78.646139),"
"(70.373816,-148.882784),"
"(64.724809,-153.629618),"
"(31.866071,-116.593719),"
"(41.87897,-87.66063),"
"(24.551174,120.82109),"
"(63.76887,-152.348787),"
"(-20.376992,118.626374),"
"(23.920061,-102.289691),"
"(23.798532,120.955426),"
"(61.063391,-151.346367),"
"(51.157062,-0.160803),"
"(41.955771,-78.646139),"
"(15.512883,101.301707),"
"(34.05513,-118.25703),"
"(16.46667,107.6),"
"(34.05513,-118.25703),"
"(23.798532,120.955426),"
"(48.118648,-123.431689),"
"(13.764424,121.062889),"
"(36.576235,-118.081414),"
"(23.109964,120.301152),"
"(18.413528,-66.061559),"
"(10.63167,-71.64056),"
"(39.106542,-94.731462),"
"(23.366827,32.987972),"
"(30.056708,-89.889852),"
"(25.039728,-77.394647),"
"(51.899304,20.388926),"
"(16.760572,106.924508),"
"(50.337332,-66.088462),"
"(41.784619,129.79),"
"(-4.32142,15.30807),"
"(55.477135,-133.127602),"
"(22.80978,89.56439),"



"(4.88447,-1.75536),"
"(14.854541,101.694946),"
"(-33.09231,-64.289),"
"(-33.13067,-64.34992),"
"(21.732568,105.396672),"
"(39.898214,-74.827656),"
"(22.741905,98.168759),"
"(38.270419,16.024497),"
"(26.144159,-100.275221),"
"(43.408468,-124.234608),"
"(64.724809,-153.629618),"
"(46.249882,-119.114864),"
"(27.189062,78.010888),"
"(33.794733,-83.710085),"
"(28.323184,83.60374),"
"(71.265914,-156.767414),"
"(40.68295,-73.9708),"
"(64.724809,-153.629618),"
"(21.968909,-159.715229),"

"(34.22051,4.790589),"
"(34.255149,-111.62621),"
"(9.404974,7.607418),"
"(58.33747,-112.384858),"
"(19.43535,102.560667),"
"(-1.27974,-80.41885),"
"(55.741469,37.615561),"
"(10.48801,-66.87919),"
"(63.314401,93.884016),"
"(41.699365,-93.040462),"
"(15.12022,105.79898),"
"(14.977267,102.065089),"
"(4.512487,-73.381215),"
"(39.586196,-85.862169),"
"(14.58639,121.17528),"
"(-23.325554,-51.157232),"
"(50.019084,-125.285262),"
"(15.87944,108.335),"
"(19.371422,-99.150344),"
"(-16.5,-68.15),"
"(9.404974,7.607418),"
"(19.686029,107.54315),"
"(39.740959,-104.985798),"
"(48.494105,-81.280241),"
"(64.724809,-153.629618),"
"(63.314401,93.884016),"
"(42.906512,-74.360908),"
"(9.404974,7.607418),"
"(37.806599,23.977946),"
"(45.182023,-68.582609),"
"(32.72793,-117.15529),"
"(12.25,109.18333),"
"(19.88601,102.13503),"
"(64.691966,-158.302262),"
"(59.275254,18.035164),"
"(38.164573,23.337663),"
"(-13.63914,-172.438241),"
"(-12.98078,-72.876651),"
"(42.198396,-85.593853),"
"(20.528235,-97.45159),"
"(24.734319,81.334404),"
"(67.659161,134.652553),"
"(41.496551,-81.65133),"
"(67.879451,35.019042),"
"(-28.684571,-57.799607),"
"(46.306303,23.13129),"
"(18.006363,-92.943921),"
"(-20.402883,148.854784),"
"(11.019219,-74.849608),"
"(18.50012,-69.98857),"
"(40.666773,-74.185906),"
"(-2.271721,23.513592),"
"(47.390129,8.661),"
"(46.498322,9.843629),"
"(-1.448755,-48.487867),"
"(16.06778,108.22083),"
"(42.097974,-75.916989),"
"(36.980806,-112.982989),"
"(33.58831,-7.61138),"
"(55.045575,82.932136),"
"(38.566234,-76.078931),"
"(15.470571,107.199567),"
"(14.6042,120.9822),"
"(44.732552,11.077303),"
"(10.625075,-9.951975),"
"(17.746706,-64.779172),"
"(39.742228,-122.012535),"
"(2.03711,45.34375),"
"(8.238765,124.485197),"
"(45.551542,-84.781821),"

"(8.991904,-83.244295),"
"(14.0818,-87.20681),"
"(33.890794,-84.301071),"
"(32.767144,13.400454),"
